Player_ID,Wage,Age,Club,League,Nation,Position,Apps,Caps,Caps_per_App,Apps_per_Year,International_Exposure
P00076,9457000.0,28,Borussia Dortmund,Bundesliga,CIV,Forward,290,15,0.05172413793103448,24.166666666666668,1.25
P00077,9439000.0,31,Capitoline,Serie A,NED,Midfielder,470,85,0.18085106382978725,31.333333333333332,5.666666666666667
P00078,9405000.0,24,R. Madrid,La Liga,URU,Midfielder,175,42,0.24,21.875,5.25
P00079,9360000.0,21,Arsenal,Premier League,BRA,Forward,80,3,0.0375,16.0,0.6
P00080,9360000.0,28,Man City,Premier League,POR,Midfielder,313,70,0.22364217252396165,26.083333333333332,5.833333333333333
P00081,9360000.0,28,Liverpool,Premier League,BRA,Defender,319,27,0.08463949843260188,26.583333333333332,2.25
P00082,9360000.0,29,Man City,Premier League,BRA,Goalkeeper,296,18,0.060810810810810814,22.76923076923077,1.3846153846153846
P00083,9360000.0,33,Tottenham,Premier League,CRO,Defender,433,113,0.26096997690531176,25.470588235294116,6.647058823529412
P00084,9360000.0,30,Liverpool,Premier League,BRA,Forward,414,55,0.13285024154589373,29.571428571428573,3.9285714285714284
P00085,9360000.0,21,Chelsea,Premier League,ARG,Midfielder,71,2,0.028169014084507043,14.2,0.4
P00086,9100000.0,32,Man City,Premier League,ENG,Defender,400,68,0.17,25.0,4.25
P00087,9100000.0,24,Tottenham,Premier League,ARG,Defender,131,11,0.08396946564885496,16.375,1.375
P00088,9100000.0,25,Man City,Premier League,POR,Defender,214,37,0.17289719626168223,23.77777777777778,4.111111111111111
P00089,9100000.0,25,Tottenham,Premier League,BRA,Forward,241,36,0.14937759336099585,26.77777777777778,4.0
P00090,8924000.0,23,PSG,Ligue 1 Uber Eats,MAR,Defender,167,51,0.30538922155688625,23.857142857142858,7.285714285714286
P00091,8845000.0,29,Juventus,Serie A,FRA,Midfielder,281,91,0.3238434163701068,21.615384615384617,7.0
P00092,8840000.0,33,Chelsea,Premier League,GAB,Forward,445,73,0.16404494382022472,26.176470588235293,4.294117647058823
P00093,8840000.0,27,Man UFC,Premier League,ENG,Defender,212,21,0.09905660377358491,19.272727272727273,1.9090909090909092
